PRICE,NUM_BD,BTH_STAT,AR_LIV,AR_PL,NUM_FLR,NEAR_RIV,OUTLOOK,CONDITION,AR_RFTP,AR_BASE,YR_PAST,IS_RENOVATED,LAT,LONG,AVG_AR_LIV_NEAR,AVG_AR_PL_NEAR,SUMMER_HIGH,WINTER_LOW,PRECIPITATION,VIOLENT_CRIME,PROPERTY_CRIME
238000,4,<2,1400,7242,1.5,0,0,3,1400,0,61,0,47.4339,-122.291,1310,7314,76,37,45,41.4,97.6
260000,3,<2,1180,5350,1.5,0,0,4,1180,0,61,0,47.505,-122.259,1490,5350,76,37,45,41.4,97.6
442000,5,2=<ROOMS<=4,2560,5445,1.5,0,0,4,1760,800,93,0,47.5502,-122.311,1080,5445,76,37,45,41.4,97.6
360000,4,2=<ROOMS<=4,1840,9611,2,0,0,3,1840,0,24,0,47.4964,-122.251,1830,8505,76,37,45,41.4,97.6
240500,3,<2,1460,10584,1,0,0,3,990,470,23,0,47.492,-122.317,1220,12012,76,37,45,41.4,97.6
469000,4,2=<ROOMS<=4,3550,13938,1,0,0,5,2100,1450,54,0,47.425,-122.283,2050,9000,76,37,45,41.4,97.6
289500,3,<2,960,6400,1,0,0,4,820,140,76,0,47.496,-122.239,1200,6600,76,37,45,41.4,97.6
245000,3,<2,1360,8910,2,0,0,5,1360,0,71,0,47.4488,-122.275,1220,8912,76,37,45,41.4,97.6
188000,2,<2,1120,17487,1,0,0,3,1120,0,96,0,47.5024,-122.271,1690,8056,76,37,45,41.4,97.6
130000,2,<2,880,9000,1,0,0,3,880,0,92,0,47.4672,-122.291,1410,10000,76,37,45,41.4,97.6
350000,5,2=<ROOMS<=4,2520,5500,1,0,0,3,1550,970,16,0,47.4938,-122.255,1700,8000,76,37,45,41.4,97.6
447000,3,<2,1370,6001,1,0,0,5,1230,140,76,0,47.5646,-122.317,1370,5520,76,37,45,41.4,97.6
269950,3,2=<ROOMS<=4,1890,4838,2,0,0,3,1730,160,18,0,47.4802,-122.279,1910,7409,76,37,45,41.4,97.6
249950,4,<2,1330,7980,1.5,0,0,3,1330,0,68,0,47.492,-122.333,1570,8588,76,37,45,41.4,97.6
210000,2,<2,750,34133,1,0,0,3,750,0,70,0,47.4781,-122.294,1460,25792,76,37,45,41.4,97.6
175000,4,<2,1300,6030,1.5,0,0,3,1300,0,73,0,47.4778,-122.286,1240,6900,76,37,45,41.4,97.6
282000,4,<2,1660,10725,1,0,0,3,960,700,64,0,47.5033,-122.3,1340,9023,76,37,45,41.4,97.6
245000,1,<2,380,15000,1,0,0,3,380,0,57,0,47.481,-122.323,1170,15000,76,37,45,41.4,97.6
185000,3,<2,1150,8100,1,0,0,3,1150,0,88,0,47.494,-122.307,1120,8100,76,37,45,41.4,97.6
255000,3,<2,1340,8450,1,0,0,4,1340,0,62,0,47.4405,-122.28,1340,8920,76,37,45,41.4,97.6
260000,3,<2,1480,7469,1.5,0,0,3,1120,360,80,0,47.5048,-122.301,1460,7379,76,37,45,41.4,97.6
164808,3,<2,1250,5411,1,0,0,3,1250,0,40,0,47.5064,-122.265,1490,6320,76,37,45,41.4,97.6
283000,4,<2,1480,47045,1,0,0,5,1480,0,78,0,47.4809,-122.3,1530,11000,76,37,45,41.4,97.6
250000,3,<2,1190,6250,1,0,0,3,990,200,66,0,47.5658,-122.292,1760,6434,76,37,45,41.4,97.6
320000,3,<2,2300,41900,1,0,0,4,1310,990,81,0,47.477,-122.292,1160,8547,76,37,45,41.4,97.6
310000,4,2=<ROOMS<=4,2010,7426,1,0,0,5,1090,920,69,0,47.5042,-122.265,1470,7426,76,37,45,41.4,97.6
825000,2,<2,1150,12775,1,1,4,4,1150,0,112,0,47.502,-122.222,2440,11852,76,37,45,41.4,97.6
225000,3,<2,1370,9000,1,0,0,3,1370,0,58,0,47.4973,-122.328,1400,9075,76,37,45,41.4,97.6
262000,4,2=<ROOMS<=4,1560,7800,2,0,0,3,1560,0,23,0,47.514,-122.316,1160,7800,76,37,45,41.4,97.6
269000,3,<2,1690,4250,1,0,0,3,1020,670,53,0,47.4945,-122.258,1820,8865,76,37,45,41.4,97.6
252500,3,2=<ROOMS<=4,1150,6000,1,0,0,5,1150,0,64,0,47.498,-122.263,1980,6360,76,37,45,41.4,97.6
790000,4,<2,2460,10061,1,1,4,3,1410,1050,59,0,47.5105,-122.238,2300,10061,76,37,45,41.4,97.6
220000,4,<2,1440,8250,1,0,0,3,1440,0,61,0,47.4325,-122.291,1440,8466,76,37,45,41.4,97.6
173000,2,<2,1740,8100,1,0,0,3,1050,690,73,0,47.4942,-122.304,960,8100,76,37,45,41.4,97.6
360000,3,2=<ROOMS<=4,2030,6840,1,0,0,3,1210,820,41,0,47.5413,-122.299,1910,6365,76,37,45,41.4,97.6
170000,3,<2,1370,10176,1,0,0,3,1370,0,73,0,47.4738,-122.263,1650,10176,76,37,45,41.4,97.6
260000,2,<2,1120,5650,1,0,0,3,1120,0,76,0,47.4979,-122.241,1270,6875,76,37,45,41.4,97.6
245000,4,<2,1280,8000,1,0,0,3,1280,0,60,0,47.4949,-122.255,1420,8211,76,37,45,41.4,97.6
1700000,4,2=<ROOMS<=4,3190,17186,2,1,4,3,3190,0,21,0,47.5115,-122.246,2290,13496,76,37,45,41.4,97.6
265000,2,<2,760,4000,1,0,0,4,760,0,70,0,47.5466,-122.304,1640,4500,76,37,45,41.4,97.6
290000,4,<2,1990,18900,2,0,0,4,1870,120,91,0,47.5131,-122.313,1710,12400,76,37,45,41.4,97.6
612000,6,2=<ROOMS<=4,3840,14040,1.5,0,3,3,2460,1380,71,0,47.506,-122.241,2170,6765,76,37,45,41.4,97.6
500000,3,2=<ROOMS<=4,1720,5525,1,0,2,5,960,760,79,0,47.559,-122.298,1760,5525,76,37,45,41.4,97.6
380000,2,<2,1210,4800,1,0,0,3,1060,150,70,0,47.5625,-122.316,1380,4800,76,37,45,41.4,97.6
300000,3,<2,1500,14750,1.5,0,0,4,1500,0,87,0,47.495,-122.318,1270,15100,76,37,45,41.4,97.6
285000,3,2=<ROOMS<=4,2110,6900,1.5,0,0,5,1220,890,65,0,47.504,-122.26,1350,7683,76,37,45,41.4,97.6
325000,3,2=<ROOMS<=4,1890,9646,1,0,0,3,1890,0,54,0,47.4838,-122.299,1580,9488,76,37,45,41.4,97.6
255000,2,<2,1480,9660,1,0,0,3,1480,0,71,0,47.4577,-122.289,1990,9660,76,37,45,41.4,97.6
231500,2,<2,1200,9488,1,0,0,5,1200,0,79,0,47.4832,-122.299,1200,9488,76,37,45,41.4,97.6
400000,4,<2,1850,6480,1,0,0,4,1120,730,62,0,47.5525,-122.313,1610,5040,76,37,45,41.4,97.6
337000,3,<2,1400,6000,1,0,0,4,700,700,101,0,47.5283,-122.321,1030,6000,76,37,45,41.4,97.6
531000,5,2=<ROOMS<=4,2540,5022,1,0,0,4,1540,1000,65,0,47.5593,-122.3,2510,5182,76,37,45,41.4,97.6
299000,4,2=<ROOMS<=4,1950,3000,2,0,0,3,1950,0,18,0,47.4977,-122.226,1170,6000,76,37,45,41.4,97.6
212000,4,2=<ROOMS<=4,1880,7500,1,0,0,5,980,900,74,0,47.495,-122.266,1670,14350,76,37,45,41.4,97.6
240000,4,<2,1920,7973,1,0,0,3,1920,0,65,0,47.4961,-122.235,2020,8840,76,37,45,41.4,97.6
300000,5,<2,1940,8875,1,0,0,3,1940,0,63,0,47.4407,-122.275,1380,8875,76,37,45,41.4,97.6
255000,4,2=<ROOMS<=4,2430,8960,1,0,0,3,1430,1000,60,0,47.4979,-122.232,2430,8960,76,37,45,41.4,97.6
340000,3,<2,1710,10190,1,0,0,3,1310,400,71,0,47.506,-122.331,1200,6251,76,37,45,41.4,97.6
315000,2,<2,1080,2674,1,0,0,4,720,360,101,0,47.5595,-122.317,1250,5000,76,37,45,41.4,97.6
598800,6,2=<ROOMS<=4,4470,17877,3,0,3,3,3230,1240,7,0,47.4514,-122.273,1790,18260,76,37,45,41.4,97.6
320000,4,<2,1660,6200,1,0,0,4,830,830,72,0,47.56,-122.316,1780,5968,76,37,45,41.4,97.6
345000,4,2=<ROOMS<=4,2280,8190,1,0,3,3,1390,890,37,0,47.4414,-122.272,1990,9000,76,37,45,41.4,97.6
335000,4,2=<ROOMS<=4,2330,7050,2,0,0,3,2330,0,22,0,47.5001,-122.231,1810,5424,76,37,45,41.4,97.6
194000,3,<2,1010,5000,1,0,0,3,1010,0,77,0,47.4925,-122.278,980,5000,76,37,45,41.4,97.6
156000,3,<2,770,9750,1,0,0,3,770,0,79,0,47.4509,-122.275,1560,10707,76,37,45,41.4,97.6
380000,4,<2,1740,9150,1,0,0,3,1740,0,46,0,47.4498,-122.28,1540,9147,76,37,45,41.4,97.6
250000,3,2=<ROOMS<=4,1530,2890,2,0,0,3,1530,0,19,0,47.5434,-122.293,1540,2890,76,37,45,41.4,97.6
320000,3,2=<ROOMS<=4,1530,2890,2,0,0,3,1530,0,19,0,47.5434,-122.293,1540,2890,76,37,45,41.4,97.6
192500,2,<2,950,7692,1,0,0,3,950,0,94,0,47.4909,-122.298,1820,8221,76,37,45,41.4,97.6
248000,5,<2,1510,9078,1,0,0,4,1510,0,61,0,47.4852,-122.305,1480,9078,76,37,45,41.4,97.6
251700,3,2=<ROOMS<=4,1810,11800,1,0,0,3,1240,570,43,0,47.4997,-122.231,1810,5641,76,37,45,41.4,97.6
82500,2,<2,520,22334,1,0,0,2,520,0,69,0,47.4799,-122.296,1572,10570,76,37,45,41.4,97.6
245990,3,<2,1040,8410,1,0,0,3,1040,0,78,1,47.453,-122.289,1350,8410,76,37,45,41.4,97.6
150000,3,<2,1450,6776,1,0,0,3,1450,0,68,0,47.5056,-122.244,1680,7200,76,37,45,41.4,97.6
275000,4,<2,1340,22500,1.5,0,0,3,1340,0,94,0,47.489,-122.316,1620,10800,76,37,45,41.4,97.6
284000,4,<2,1880,8800,1,0,0,3,1130,750,60,0,47.5137,-122.333,1340,8733,76,37,45,41.4,97.6
280005,3,<2,1130,7200,1,0,0,3,1130,0,66,0,47.5041,-122.253,1130,7200,76,37,45,41.4,97.6
288350,3,<2,1860,7963,1,0,0,3,1200,660,57,0,47.4513,-122.268,1800,10400,76,37,45,41.4,97.6
243000,2,<2,1770,5522,1.5,0,0,4,960,810,77,0,47.4974,-122.231,1830,7378,76,37,45,41.4,97.6
230000,5,<2,1920,19040,1,0,0,3,1160,760,59,0,47.4756,-122.294,1920,11520,76,37,45,41.4,97.6
437000,5,2=<ROOMS<=4,2190,8316,1,0,0,3,1390,800,59,0,47.5488,-122.298,2010,8316,76,37,45,41.4,97.6
400000,6,2=<ROOMS<=4,2350,6554,2,0,1,3,2000,350,115,0,47.5115,-122.256,1560,6554,76,37,45,41.4,97.6
300000,3,2=<ROOMS<=4,1830,12750,2,0,0,3,1830,0,29,0,47.5003,-122.328,1610,10000,76,37,45,41.4,97.6
355000,3,2=<ROOMS<=4,2550,9674,1,0,0,3,1850,700,61,0,47.4856,-122.247,2240,9674,76,37,45,41.4,97.6
294000,3,<2,1320,9520,1,0,0,3,990,330,67,0,47.4857,-122.253,1460,10610,76,37,45,41.4,97.6
179900,2,<2,680,6400,1,0,0,3,680,0,77,0,47.5136,-122.316,1240,7800,76,37,45,41.4,97.6
166000,3,<2,1010,11675,1,0,0,3,1010,0,63,0,47.4849,-122.301,1370,10042,76,37,45,41.4,97.6
210000,3,<2,1200,7500,1,0,0,3,1200,0,115,1,47.4921,-122.275,1010,7000,76,37,45,41.4,97.6
305000,3,<2,1480,9086,1,0,0,3,1480,0,58,0,47.4717,-122.323,1540,9750,76,37,45,41.4,97.6
569000,3,2=<ROOMS<=4,2220,8227,1.5,0,0,5,1770,450,91,0,47.5665,-122.316,1750,4800,76,37,45,41.4,97.6
184500,2,<2,720,5880,1,0,0,3,720,0,80,0,47.5056,-122.27,1440,7200,76,37,45,41.4,97.6
250000,3,<2,2210,11111,1.5,0,0,3,2210,0,86,0,47.492,-122.309,1250,8422,76,37,45,41.4,97.6
239950,5,<2,1460,6032,2,0,0,4,1460,0,79,0,47.487,-122.282,1060,10300,76,37,45,41.4,97.6
283000,3,<2,1740,5247,1,0,0,3,1270,470,73,0,47.5049,-122.329,1070,5636,76,37,45,41.4,97.6
234500,3,<2,1310,18400,1,0,0,3,870,440,66,0,47.5035,-122.302,1840,10790,76,37,45,41.4,97.6
199000,4,2=<ROOMS<=4,2030,8120,2,0,0,3,2030,0,70,0,47.4994,-122.261,1520,9440,76,37,45,41.4,97.6
415000,5,<2,3700,9140,1,0,0,3,1850,1850,63,0,47.5086,-122.258,2190,6720,76,37,45,41.4,97.6
157500,2,<2,670,4500,1,0,0,3,670,0,115,0,47.5271,-122.326,1210,4500,76,37,45,41.4,97.6
332000,2,<2,1000,4776,1,0,0,4,1000,0,78,0,47.5619,-122.315,1500,4800,76,37,45,41.4,97.6
325000,4,2=<ROOMS<=4,2630,3435,1.5,0,3,3,1640,990,36,0,47.4355,-122.272,1920,2435,76,37,45,41.4,97.6
265000,3,<2,1400,9460,1,0,0,3,1060,340,59,0,47.5119,-122.321,1570,7700,76,37,45,41.4,97.6
220000,4,<2,1660,11664,1,0,0,3,1010,650,68,0,47.4943,-122.331,1670,9975,76,37,45,41.4,97.6
259500,3,<2,1650,12349,1,0,0,3,1650,0,63,0,47.442,-122.282,1470,10763,76,37,45,41.4,97.6
200450,3,<2,970,9130,1,0,0,3,970,0,63,0,47.4369,-122.272,1000,8886,76,37,45,41.4,97.6
285000,4,<2,2080,13629,1,0,0,4,1040,1040,65,0,47.4866,-122.232,1780,14659,76,37,45,41.4,97.6
200000,4,2=<ROOMS<=4,2090,6630,1,0,0,3,1070,1020,46,0,47.5077,-122.268,1550,7980,76,37,45,41.4,97.6
275000,4,2=<ROOMS<=4,2030,8426,2,0,0,3,2030,0,76,0,47.4806,-122.287,1190,7007,76,37,45,41.4,97.6
700000,2,<2,1160,17635,1,1,4,3,1160,0,75,0,47.5117,-122.248,1510,13122,76,37,45,41.4,97.6
178000,5,<2,1990,18200,1,0,0,3,1990,0,60,0,47.4938,-122.262,1860,8658,76,37,45,41.4,97.6
525000,4,2=<ROOMS<=4,2470,7200,1,0,0,5,1350,1120,80,0,47.5631,-122.317,1500,6000,76,37,45,41.4,97.6
230000,2,<2,930,7550,1,0,0,3,930,0,34,0,47.4866,-122.303,1370,10176,76,37,45,41.4,97.6
299950,3,<2,1940,8951,1,0,0,3,1300,640,62,0,47.473,-122.328,2000,8319,76,37,45,41.4,97.6
308000,3,<2,1640,18144,1.5,0,0,3,1640,0,78,0,47.5027,-122.33,1500,9065,76,37,45,41.4,97.6
425000,4,2=<ROOMS<=4,1390,4500,1.5,0,0,5,1390,0,112,0,47.5552,-122.311,1900,5460,76,37,45,41.4,97.6
425000,3,<2,1790,6000,1.5,0,0,2,1790,0,83,0,47.5448,-122.32,1060,4000,76,37,45,41.4,97.6
145000,3,<2,1010,5490,1,0,0,3,1010,0,66,0,47.4762,-122.293,1740,10658,76,37,45,41.4,97.6
160000,2,<2,1180,9350,1,0,0,3,1180,0,102,0,47.4889,-122.259,1780,9306,76,37,45,41.4,97.6
189000,2,<2,790,7128,1,0,0,3,790,0,76,0,47.4873,-122.324,1110,7150,76,37,45,41.4,97.6
216000,3,2=<ROOMS<=4,1260,4125,1,0,0,3,1260,0,22,0,47.4401,-122.279,1300,9091,76,37,45,41.4,97.6
100000,2,<2,790,6426,1,0,0,3,790,0,76,0,47.4933,-122.245,1380,6946,76,37,45,41.4,97.6
330000,3,2=<ROOMS<=4,1620,7150,1,0,2,4,1280,340,70,0,47.5048,-122.241,1620,6930,76,37,45,41.4,97.6
355000,4,<2,2020,6000,1,0,0,4,1010,1010,67,0,47.5019,-122.235,1710,6000,76,37,45,41.4,97.6
226950,2,<2,930,6600,1,0,0,3,930,0,63,0,47.4868,-122.33,1250,6600,76,37,45,41.4,97.6
119900,2,<2,700,3180,1,0,0,3,480,220,69,0,47.4976,-122.262,1760,6360,76,37,45,41.4,97.6
325088,4,<2,1400,6739,1,0,0,3,1000,400,66,0,47.5402,-122.298,1500,6380,76,37,45,41.4,97.6
325000,4,<2,1950,12500,1,0,0,3,1330,620,57,0,47.4999,-122.327,1760,11520,76,37,45,41.4,97.6
197000,4,<2,1360,11175,1,0,0,3,1360,0,59,0,47.4551,-122.272,1340,9702,76,37,45,41.4,97.6
277500,4,2=<ROOMS<=4,1660,7184,1,0,0,3,1110,550,57,0,47.4678,-122.294,1640,7200,76,37,45,41.4,97.6
385000,3,<2,1070,4000,1,0,0,4,1070,0,49,0,47.5529,-122.305,1090,4000,76,37,45,41.4,97.6
253779,4,2=<ROOMS<=4,2030,9600,1.5,0,0,3,1430,600,73,0,47.4459,-122.272,1820,14600,76,37,45,41.4,97.6
200000,3,<2,1140,8340,1,0,0,3,1140,0,60,0,47.4773,-122.28,1140,8340,76,37,45,41.4,97.6
495000,5,2=<ROOMS<=4,2440,4750,1,0,0,3,1450,990,14,0,47.5485,-122.302,1420,5940,76,37,45,41.4,97.6
122000,2,<2,760,5280,1,0,0,3,760,0,74,0,47.483,-122.33,1710,6594,76,37,45,41.4,97.6
200000,4,<2,1070,7467,1.5,0,0,3,1070,0,76,0,47.4942,-122.235,1160,7467,76,37,45,41.4,97.6
267000,3,<2,1740,10875,1,0,0,4,1020,720,58,0,47.4682,-122.283,1470,8532,76,37,45,41.4,97.6
335000,6,2=<ROOMS<=4,2020,7071,1,0,0,3,1010,1010,41,0,47.5329,-122.294,2020,5000,76,37,45,41.4,97.6
337500,5,2=<ROOMS<=4,1700,7314,1,0,0,3,1000,700,64,0,47.549,-122.305,2000,7176,76,37,45,41.4,97.6
281000,3,<2,1350,8737,1,0,0,3,1350,0,54,0,47.4378,-122.279,1600,8928,76,37,45,41.4,97.6
179950,3,<2,1130,9907,1,0,0,3,1130,0,66,0,47.4362,-122.286,1320,9907,76,37,45,41.4,97.6
317000,3,2=<ROOMS<=4,2020,7260,1.5,0,0,3,1180,840,94,0,47.5496,-122.311,1400,5950,76,37,45,41.4,97.6
240000,3,<2,1270,12733,1,0,0,3,1270,0,65,0,47.445,-122.276,1660,11536,76,37,45,41.4,97.6
205000,3,<2,1130,7014,1,0,0,3,1130,0,66,0,47.4743,-122.274,1440,9350,76,37,45,41.4,97.6
345100,3,2=<ROOMS<=4,1950,8625,1,0,0,3,1360,590,61,0,47.505,-122.258,1950,6670,76,37,45,41.4,97.6
200000,3,<2,960,7500,1,0,0,3,960,0,67,0,47.4966,-122.255,1250,6000,76,37,45,41.4,97.6
84000,2,<2,700,20130,1,0,0,3,700,0,71,0,47.4752,-122.271,1490,18630,76,37,45,41.4,97.6
160000,3,<2,1350,8700,1.5,0,0,3,1350,0,78,0,47.4497,-122.289,1300,8700,76,37,45,41.4,97.6
255500,3,<2,1350,8700,1.5,0,0,3,1350,0,78,0,47.4497,-122.289,1300,8700,76,37,45,41.4,97.6
445000,3,<2,1360,4998,1,0,0,3,1360,0,52,1,47.547,-122.302,1350,4998,76,37,45,41.4,97.6
294950,4,2=<ROOMS<=4,2610,14321,1.5,0,0,4,1690,920,80,0,47.4672,-122.296,1630,8599,76,37,45,41.4,97.6
220000,2,<2,840,9000,1,0,0,5,840,0,69,0,47.5033,-122.329,1350,10400,76,37,45,41.4,97.6
210000,2,<2,1100,6000,1.5,0,0,4,1100,0,120,0,47.5275,-122.323,1280,6000,76,37,45,41.4,97.6
210000,3,<2,1520,8600,1,0,0,3,1040,480,69,0,47.5134,-122.335,1320,8600,76,37,45,41.4,97.6
239000,4,2=<ROOMS<=4,1370,8837,1.5,0,0,3,1370,0,65,0,47.4386,-122.285,1360,9000,76,37,45,41.4,97.6
210000,3,<2,1400,7300,2,0,0,3,1400,0,72,0,47.4999,-122.268,1440,10825,76,37,45,41.4,97.6
155000,1,<2,720,6000,1,0,0,3,720,0,80,0,47.5266,-122.316,1040,6000,76,37,45,41.4,97.6
228950,3,<2,1120,6625,1,0,0,3,1120,0,78,0,47.4879,-122.332,1120,6794,76,37,45,41.4,97.6
135000,1,<2,790,13062,1,0,0,3,790,0,78,0,47.4919,-122.311,1240,7137,76,37,45,41.4,97.6
359950,3,2=<ROOMS<=4,1940,11612,1,0,0,4,1100,840,39,0,47.5018,-122.23,2180,8954,76,37,45,41.4,97.6
198500,3,<2,1520,7137,1,0,0,3,1520,0,88,0,47.4924,-122.311,1240,8602,76,37,45,41.4,97.6
235000,4,<2,1720,10137,2,0,0,3,1720,0,64,0,47.4424,-122.276,1350,10205,76,37,45,41.4,97.6
360000,3,<2,1800,22000,2,0,0,3,1800,0,89,0,47.4889,-122.286,1440,16640,76,37,45,41.4,97.6
235000,3,<2,1310,15022,1,0,0,3,1310,0,86,1,47.5008,-122.332,1530,13154,76,37,45,41.4,97.6
360000,3,2=<ROOMS<=4,1960,8846,1,0,3,4,980,980,80,0,47.5101,-122.246,2190,6363,76,37,45,41.4,97.6
268000,3,2=<ROOMS<=4,1880,1793,2,0,0,3,1810,70,19,0,47.5405,-122.293,1800,2537,76,37,45,41.4,97.6
330000,3,<2,1850,5775,2,0,0,3,1740,110,92,0,47.5446,-122.296,1520,3578,76,37,45,41.4,97.6
535000,2,<2,2330,7280,1,0,0,3,1450,880,38,0,47.4282,-122.28,1830,12178,76,37,45,41.4,97.6
353000,3,<2,1260,11775,1,0,0,5,1260,0,78,0,47.5501,-122.296,1270,5480,76,37,45,41.4,97.6
335000,4,2=<ROOMS<=4,1480,3132,1,0,0,5,740,740,110,0,47.55,-122.312,1480,6420,76,37,45,41.4,97.6
235000,3,<2,1980,11214,1,0,0,3,1980,0,61,0,47.4696,-122.298,1510,9072,76,37,45,41.4,97.6
335000,3,2=<ROOMS<=4,2150,30476,2,0,0,3,2150,0,29,0,47.4605,-122.277,2010,10800,76,37,45,41.4,97.6
150000,3,<2,1320,24684,1,0,0,3,1320,0,41,0,47.4771,-122.322,1120,21214,76,37,45,41.4,97.6
265000,3,<2,1360,5967,1,0,0,3,1360,0,66,0,47.4973,-122.256,1360,6052,76,37,45,41.4,97.6
195000,2,<2,720,18000,1,0,0,3,720,0,70,0,47.5054,-122.261,1250,7925,76,37,45,41.4,97.6
245000,5,<2,2020,7902,1,0,0,3,1220,800,58,0,47.51,-122.327,2220,8819,76,37,45,41.4,97.6
160000,2,<2,930,7742,1,0,0,3,930,0,87,0,47.507,-122.302,2240,8723,76,37,45,41.4,97.6
185000,2,<2,670,6750,1,0,0,4,670,0,73,0,47.4521,-122.283,1700,11520,76,37,45,41.4,97.6
203000,3,<2,1150,7156,1,0,0,4,1150,0,67,0,47.4864,-122.317,1210,7156,76,37,45,41.4,97.6
296000,4,<2,1370,9750,1,0,0,3,1070,300,67,0,47.4718,-122.323,1540,9789,76,37,45,41.4,97.6
173250,3,<2,990,12696,1.5,0,0,3,990,0,84,0,47.4776,-122.279,1260,8937,76,37,45,41.4,97.6
353000,4,2=<ROOMS<=4,1920,4627,1,0,0,3,1010,910,22,0,47.5003,-122.23,1910,7210,76,37,45,41.4,97.6
260000,2,<2,750,6720,1,0,0,3,750,0,104,0,47.552,-122.31,920,6720,76,37,45,41.4,97.6
285000,3,<2,1440,4268,1,0,0,3,1040,400,67,0,47.5468,-122.293,1370,4268,76,37,45,41.4,97.6
415000,3,<2,1960,5000,1,0,0,5,980,980,109,0,47.5576,-122.317,1790,5000,76,37,45,41.4,97.6
318000,5,2=<ROOMS<=4,2820,9956,1,0,0,4,1410,1410,53,0,47.4715,-122.33,2700,9956,76,37,45,41.4,97.6
278000,3,<2,1900,9994,1,0,0,3,1120,780,60,0,47.4729,-122.301,1900,9994,76,37,45,41.4,97.6
245000,3,<2,1010,9678,1,0,0,5,1010,0,65,0,47.4396,-122.285,1010,9375,76,37,45,41.4,97.6
300000,5,2=<ROOMS<=4,1940,6355,1,0,0,3,1200,740,13,0,47.498,-122.322,1940,5033,76,37,45,41.4,97.6
225000,3,<2,900,6099,1,0,0,3,790,110,76,0,47.4807,-122.289,1240,6099,76,37,45,41.4,97.6
147200,3,<2,1420,9600,1,0,0,4,1420,0,66,0,47.4232,-122.292,1400,8415,76,37,45,41.4,97.6
232000,2,<2,960,8100,1,0,0,3,810,150,84,0,47.494,-122.304,960,12150,76,37,45,41.4,97.6
499900,3,<2,2430,8820,1,0,2,3,1630,800,43,0,47.4972,-122.233,2390,10050,76,37,45,41.4,97.6
169000,3,<2,890,7110,1,0,0,3,890,0,63,0,47.4971,-122.261,1100,8375,76,37,45,41.4,97.6
220000,3,<2,1900,7680,1,0,0,3,1260,640,61,0,47.5081,-122.266,2000,7740,76,37,45,41.4,97.6
239000,4,<2,1280,8316,1,0,0,3,1280,0,70,0,47.4989,-122.302,1310,7830,76,37,45,41.4,97.6
